Time (UTC),Price (USD/MWh)
2022-10-09 03,44.4
2022-10-09 04,44.4
2022-10-09 05,44.4
2022-10-09 06,44.4
2022-10-09 07,44.4
2022-10-09 08,44.4
2022-10-09 09,44.4
2022-10-09 10,177.6
2022-10-09 11,177.6
2022-10-09 12,177.6
2022-10-09 13,177.6
2022-10-09 14,177.6
2022-10-09 15,177.6
2022-10-09 16,44.4
2022-10-09 17,44.4
2022-10-09 18,44.4
2022-10-09 19,44.4
2022-10-09 20,44.4
2022-10-09 21,44.4
2022-10-09 22,44.4
2022-10-09 23,44.4
2022-10-10 00,44.4
2022-10-10 01,44.4
2022-10-10 02,44.4
2022-10-10 03,44.4
2022-10-10 04,44.4
2022-10-10 05,44.4
2022-10-10 06,44.4
2022-10-10 07,44.4
2022-10-10 08,44.4
2022-10-10 09,44.4
2022-10-10 10,177.6
2022-10-10 11,177.6
2022-10-10 12,177.6
2022-10-10 13,177.6
2022-10-10 14,177.6
2022-10-10 15,177.6
2022-10-10 16,44.4
2022-10-10 17,44.4
2022-10-10 18,44.4
2022-10-10 19,44.4
2022-10-10 20,44.4
2022-10-10 21,44.4
2022-10-10 22,44.4
2022-10-10 23,44.4
2022-10-11 00,44.4
